,feature,i,y_true,pred_bin,pred_prob
246,MIRACLE,28,0,0,0.32897251647994447
247,MIRACLE,29,1,0,0.30914669830478453
248,MIRACLE,30,0,0,0.31882723169325283
249,MIRACLE,31,0,0,0.3027253130806463
250,MIRACLE,32,0,0,0.31896068781264886
251,MIRACLE,33,0,0,0.3187684086412552
252,MIRACLE,34,1,0,0.35302327417991003
253,MIRACLE,35,0,0,0.30888513884985574
254,MIRACLE,36,1,0,0.31714594721167017
255,MIRACLE,37,0,0,0.3306826432098243
256,MIRACLE,38,1,0,0.3107420968074142
257,MIRACLE,39,1,0,0.32577022001093486
258,MIRACLE,40,0,0,0.32251584233268044
259,MIRACLE,41,0,0,0.3070069722487794
260,MIRACLE,42,1,0,0.34335742791489127
261,MIRACLE,43,1,0,0.3225715490509785
262,MIRACLE,44,1,0,0.32393781001028854
263,MIRACLE,45,0,0,0.3426459674459089
264,MIRACLE,46,1,0,0.2906319465997168
265,MIRACLE,47,1,0,0.29456692563447606
266,MIRACLE,48,0,0,0.33668879949950437
267,MIRACLE,49,0,0,0.33236887827071687
268,MIRACLE,50,1,0,0.2786072482463071
269,MIRACLE,51,0,0,0.3208328472836253
270,MIRACLE,52,1,0,0.2888101525768994
271,MIRACLE,53,1,0,0.31196665437548377
272,MIRACLE,54,1,0,0.29736925461544295
273,MIRACLE,55,0,0,0.312422392614511
274,MIRACLE,56,1,0,0.3099765143404794
275,MIRACLE,57,1,0,0.3149640976373079
276,MIRACLE,58,0,0,0.31581926115303627
277,MIRACLE,59,1,0,0.2947859078024808
278,MIRACLE,60,0,0,0.3333513537630469
279,MIRACLE,61,0,0,0.33774611894798184
280,MIRACLE,62,1,0,0.3015456598686477
281,MIRACLE,63,0,0,0.34396571354343497
282,MIRACLE,64,0,0,0.3471299836013588
283,MIRACLE,65,0,0,0.32704791086392343
284,MIRACLE,66,0,0,0.31285285080853925
285,MIRACLE,67,0,0,0.2929622427373069
286,MIRACLE,68,0,0,0.33232767094463533
287,MIRACLE,69,0,0,0.29612995646633267
288,MIRACLE,70,1,0,0.35804496427192045
289,MIRACLE,71,0,0,0.34008282262115874
290,MIRACLE,72,0,0,0.3402000382419956
291,MIRACLE,73,0,0,0.32627089278177696
292,MIRACLE,74,0,0,0.3367992780165685
293,MIRACLE,75,0,0,0.3353205547637422
294,MIRACLE,76,1,0,0.314751435475472
295,MIRACLE,77,0,0,0.3443334760383435
296,MIRACLE,78,1,0,0.3334226963843473
297,MIRACLE,79,0,0,0.3144963107906763
298,MIRACLE,80,0,0,0.3222666655416097
299,MIRACLE,81,0,0,0.32340864109622625
300,MIRACLE,82,0,0,0.30047597446538654
301,MIRACLE,83,1,0,0.31639054812609807
302,MIRACLE,84,0,0,0.3261058107850728
303,MIRACLE,85,0,0,0.3225228719631383
304,MIRACLE,86,1,0,0.33335468312708594
305,MIRACLE,87,1,0,0.33097789429241464
306,MIRACLE,88,0,0,0.3170621847651688
307,MIRACLE,89,0,0,0.3364693043191129
308,MIRACLE,90,0,0,0.3204521332685219
309,MIRACLE,91,0,0,0.33745823725613533
310,MIRACLE,92,0,0,0.30795319069870924
311,MIRACLE,93,0,0,0.33349652485290526
312,MIRACLE,94,1,0,0.2924021233560206
313,MIRACLE,95,0,0,0.34774825216669375
314,MIRACLE,96,0,0,0.2893356284108365
315,MIRACLE,97,0,0,0.3311486220184887
316,MIRACLE,98,0,0,0.33017416214911394
317,MIRACLE,99,0,0,0.3137918818485224
318,MIRACLE,100,0,0,0.30217265760371015
319,MIRACLE,101,0,0,0.3043227145416698
320,MIRACLE,102,0,0,0.330619090058215
321,MIRACLE,103,0,0,0.348339026733156
322,MIRACLE,104,1,0,0.3305971496327749
323,MIRACLE,105,0,0,0.32378948232933513
324,MIRACLE,106,1,0,0.3647247908297099
325,MIRACLE,107,0,0,0.32482057986780866
326,MIRACLE,108,0,0,0.3219146740433064
327,WM,0,0,0,0.33734268512332544
328,WM,1,0,0,0.378920071943146
329,WM,2,0,0,0.4246163649773285
330,WM,3,0,0,0.2545627815770946
331,WM,4,0,0,0.414091414914081
332,WM,5,1,0,0.36598659218623175
333,WM,6,1,0,0.3519497043449387
334,WM,7,1,0,0.3693261265304231
335,WM,8,1,0,0.35286988641690087
336,WM,9,0,0,0.34984648632673915
337,WM,10,0,0,0.38175074433569944
338,WM,11,0,0,0.3929616306926975
339,WM,12,0,0,0.42110202213276443
340,WM,13,0,0,0.3769040731295391
341,WM,14,0,0,0.3820410946486355
342,WM,15,0,0,0.48882162896994236
343,WM,16,0,0,0.37084022911900766
344,WM,17,0,0,0.31627190309861053
345,WM,18,0,0,0.33566478674355554
346,WM,19,0,0,0.2709258849153557
347,WM,20,0,0,0.35902035412777417
348,WM,21,1,0,0.2952076921675149
349,WM,22,1,0,0.43238887346521004
350,WM,23,1,0,0.38029588523295504
351,WM,24,0,0,0.3465380912479641
352,WM,25,1,0,0.45157889339780544
353,WM,26,0,0,0.35980441327924817
354,WM,27,0,0,0.36587083380922736
355,WM,28,0,1,0.5002973804464771
356,WM,29,1,0,0.3730864592074838
357,WM,30,0,0,0.28577939789126544
358,WM,31,0,0,0.2629156594875142
